bucket,rep,pooled_null_prop_enh,pooled_null_prop_double_flank,pooled_null_prop_duplication,body_hit_enhancers,double_flank_hit_enhancers,duplication_hit_enhancers,total_enhancers
3,0,0.1285272164573093,0.01001274349171673,0.0025486983433460767,706,55,14,5493
3,1,0.12579646823229565,0.008374294556708538,0.0014563990533406153,691,46,8,5493
3,2,0.12725286728563626,0.010376843255051884,0.002730748225013654,699,57,15,5493
3,3,0.13034771527398506,0.010922992900054615,0.0014563990533406153,716,60,8,5493
3,4,0.1318041143273257,0.009830693610049153,0.002184598580010923,724,54,12,5493
3,5,0.1247041689422902,0.007828144911705807,0.0018204988166757691,685,43,10,5493
3,6,0.1247041689422902,0.009466593846714,0.0014563990533406153,685,52,8,5493
3,7,0.12561441835062806,0.008010194793373384,0.0014563990533406153,690,44,8,5493
3,8,0.1379938103040233,0.011287092663389769,0.004915346805024577,758,62,27,5493
3,9,0.1323502639723284,0.009648643728381576,0.0029127981066812306,727,53,16,5493
3,10,0.12834516657564174,0.008556344438376115,0.0014563990533406153,705,47,8,5493
3,11,0.1318041143273257,0.01001274349171673,0.0014563990533406153,724,55,8,5493
3,12,0.1254323684689605,0.008010194793373384,0.002184598580010923,689,44,12,5493
3,13,0.12397596941561988,0.009466593846714,0.004005097396686692,681,52,22,5493
3,14,0.1381758601856909,0.006735845621700346,0.002184598580010923,759,37,12,5493
3,15,0.13052976515565265,0.008010194793373384,0.0014563990533406153,717,44,8,5493
3,16,0.12579646823229565,0.007281995266703077,0.0023666484616785,691,40,13,5493
3,17,0.12579646823229565,0.009102494083378846,0.002184598580010923,691,50,12,5493
3,18,0.12324776988894957,0.011287092663389769,0.0036409976333515383,677,62,20,5493
3,19,0.12561441835062806,0.008920444201711269,0.0023666484616785,690,49,13,5493
3,20,0.1318041143273257,0.009102494083378846,0.0025486983433460767,724,50,14,5493
3,21,0.12397596941561988,0.009830693610049153,0.0018204988166757691,681,54,10,5493
3,22,0.12907336610231204,0.009648643728381576,0.0036409976333515383,709,53,20,5493
3,23,0.12816311669397415,0.01001274349171673,0.0014563990533406153,704,55,8,5493
3,24,0.1292554159839796,0.008738394320043691,0.0036409976333515383,710,48,20,5493
3,25,0.13034771527398506,0.009102494083378846,0.0018204988166757691,716,50,10,5493
3,26,0.1263426178772984,0.010740943018387038,0.002184598580010923,694,59,12,5493
3,27,0.1268887675223011,0.010194793373384307,0.0007281995266703076,697,56,4,5493
3,28,0.12652466775896595,0.009466593846714,0.002184598580010923,695,52,12,5493
3,29,0.1310759148006554,0.013471691243400691,0.002184598580010923,720,74,12,5493
3,30,0.12889131622064445,0.011105042781722191,0.0025486983433460767,708,61,14,5493
3,31,0.1245221190606226,0.012743491716730384,0.0029127981066812306,684,70,16,5493
3,32,0.13999635900236665,0.009102494083378846,0.0029127981066812306,769,50,16,5493
3,33,0.13052976515565265,0.009648643728381576,0.004369197160021846,717,53,24,5493
3,34,0.1358092117240124,0.009466593846714,0.0025486983433460767,746,52,14,5493
3,35,0.12961951574731476,0.007281995266703077,0.0018204988166757691,712,40,10,5493
3,36,0.12889131622064445,0.006189695976697615,0.002184598580010923,708,34,12,5493
