	shadow_observed_insert_based	shadow_local_insert_based	single_observed_insert_based	single_local_insert_based	genome_insert_based
LTR	41.30434782608695	49.514563106796125	18.75	24.31476569407604	42.4541019386314
LINE	32.608695652173914	22.718446601941746	8.522727272727272	24.108458591217214	34.00629092309668
SINE	0.0	0.0	4.545454545454546	2.387267904509284	0.173321350622673
Helitron/RC	17.391304347826086	17.66990291262136	62.5	33.80489242558208	12.732699961484146
TIR	8.695652173913043	10.097087378640778	5.681818181818182	15.384615384615385	10.633585826165104
