comparison	obs_total	n_categories_tested	chi2_stat	chi2_p	g_stat	g_p	note
Shadow observed vs Shadow neighborhood	46	4	2.6983127699240237	0.44051409758997917	2.503018568420631	0.47474580743199235	
Shadow observed vs Genome	46	5	1.066996003764671	0.8994726783740458	1.0768794672057662	0.8979229727837743	
Single observed vs Single neighborhood	176	5	77.0486753183627	7.344417157248256e-16	77.23760544451875	6.698359109921701e-16	
Single observed vs Genome	176	5	597.4302078282564	5.576829131882677e-128	294.2998820845677	1.837782348607954e-62	
