	Shadow	Single
LTR	-0.26155925739591335	-0.37494209368343584
LINE	0.5213925420194212	-1.500152341150117
SINE	0.0	0.9290640929021187
Helitron/RC	-0.022927974183820685	0.88662413356292
TIR	-0.21557305210449693	-1.4370638054487035
