te_bin	shadow_observed_pct	shadow_local_pct	single_observed_pct	single_local_pct	genome_pct	shadow_observed_bp	shadow_local_bp	single_observed_bp	single_local_bp	genome_bp
LTR	49.75286736176479	31.883991784810796	56.72633486686184	34.06958285102967	28.9867842531121	455085.0	9607960.0	203449.0	4125504.0	319058552.0
LINE	36.1808523315524	27.472760005748132	30.990659417259163	25.150640739930925	49.772950347207534	330943.0	8481973.0	111148.0	3078081.0	547852612.0
SINE	7.5081092959261655	35.46212590938806	6.825038338212742	36.81867385533613	18.591699667977167	68676.0	9914229.0	24478.0	4217644.0	204639491.0
DNA-TIR	6.558171010756637	5.181122300053014	5.4579673776662485	3.961102553703272	2.6485657317032034	59987.0	1349664.0	19575.0	415159.0	29152856.0
