comparison	obs_total	ref_total	n_categories_tested	chi2_stat	chi2_p	chi2_log10_p	g_stat	g_p	g_log10_p	note
heart shadow observed enhancer-TE pairs vs shadow neighborhood TE opportunities	1276	120699	4	1062.3538408352126	5.34905956779352e-230	-229.27172256572058	1124.1194556537275	2.129579346373626e-243	-242.67170617383383	
heart shadow observed enhancer-TE pairs vs genome TE inserts	1276	3660357	4	605.2043829726194	7.501445338373345e-131	-130.12485505100761	648.4507277531802	3.156896379841751e-140	-139.5007396729071	
heart single observed enhancer-TE pairs vs single neighborhood TE opportunities	425	40486	4	393.6960548841966	5.135792279246617e-85	-84.28939254993166	427.6452950965323	2.2724690893428983e-92	-91.64350201544113	
heart single observed enhancer-TE pairs vs genome TE inserts	425	3660357	4	239.05063165653058	1.526881663430825e-51	-50.81619462038331	260.03137428081004	4.426068019491941e-56	-55.353981916151405	
