group	te_class	obs_count	obs_total	ref_count	ref_total	obs_prop	ref_prop	log2_obs_over_ref	log2_odds_ratio	chi2	p_value	direction	q_value	label
Shadow	LTR	1090	2239	49667	205108	0.4868244752121483	0.24215047682196697	1.0074978549309177	1.5699809958797197	717.216246355706	5.39488894069191e-158	enriched	1.078977788138382e-157	***
Shadow	LINE	704	2239	34208	205108	0.31442608307280034	0.1667804278721454	0.9147709020035321	1.1966929669868627	344.8066571652083	5.7291138000377266e-77	enriched	7.638818400050302e-77	***
Shadow	SINE	283	2239	110036	205108	0.12639571237159447	0.536478343116797	-2.0855723989771215	-2.9977366239886956	1495.993833682053	0.0	depleted	0.0	***
Shadow	TIR	162	2239	11197	205108	0.07235372934345691	0.054590752189090624	0.40641079764870636	0.4378129405471227	13.495730074807243	0.00023910692172660037	enriched	0.00023910692172660037	***
Single	LTR	475	864	20191	83708	0.5497685185185185	0.24120753094088976	1.1885493410625847	1.9412280524596044	440.9519635363276	6.718352200482602e-98	enriched	1.3436704400965204e-97	***
Single	LINE	236	864	12417	83708	0.27314814814814814	0.14833707650403785	0.8808043965376651	1.111282768267817	104.70716121851115	1.4158839386832642e-24	enriched	1.8878452515776855e-24	***
Single	SINE	98	864	47434	83708	0.11342592592592593	0.566660295312276	-2.320733672387845	-3.3470711735871697	713.6674905710129	3.1890339911656636e-157	depleted	1.2756135964662654e-156	***
Single	TIR	55	864	3666	83708	0.06365740740740741	0.043795097242796385	0.5395590182775998	0.5818193797856221	8.020875259831747	0.004624121752659388	enriched	0.004624121752659388	**
