group	te_class	obs_bp	local_bp	obs_prop	local_prop	log2_obs_over_local	p_value	p_adj	stars
shadow	LTR	455085.0	9607960.0	0.4975286736176479	0.32731542389056884	0.6040980848286737	0.0	0.0	***
shadow	LINE	330943.0	8481973.0	0.36180852331552404	0.2889563016419052	0.32437506072353856	0.0	0.0	***
shadow	SINE	68676.0	9914229.0	0.07508109295926166	0.33774912340217594	-2.169430453406588	0.0	0.0	***
shadow	DNA-TIR	59987.0	1349664.0	0.06558171010756637	0.04597915106535005	0.512313683388076	0.0	0.0	***
single	LTR	203449.0	4125504.0	0.5672633486686184	0.34854416735916394	0.702677166421401	0.0	0.0	***
single	LINE	111148.0	3078081.0	0.30990659417259164	0.2600523909827897	0.25303114945832156	0.0	0.0	***
single	SINE	24478.0	4217644.0	0.06825038338212742	0.3563286367428983	-2.384299359612186	0.0	0.0	***
single	DNA-TIR	19575.0	415159.0	0.054579673776662486	0.035074804915148104	0.6379286772862934	0.0	0.0	***
