	shadow_observed_enhancer_TE_pairs	shadow_neighborhood_enhancer_window_TE_pairs	single_observed_enhancer_TE_pairs	single_neighborhood_enhancer_window_TE_pairs	genome_TE_inserts
LTR	43.48697394789579	26.465413464209647	55.36480686695279	24.25091614572106	26.596695349661246
LINE	38.276553106212425	17.304843041022316	24.034334763948497	13.666738521233023	27.031133848419703
SINE	11.022044088176353	50.24307806278359	15.450643776824036	57.97801250269454	41.88889225832344
TIR	7.214428857715431	5.986665431984442	5.150214592274678	4.104332830351369	4.4832785435956115
