bucket,rep,pooled_null_prop_enh,pooled_null_prop_double_flank,pooled_null_prop_duplication,body_hit_enhancers,double_flank_hit_enhancers,duplication_hit_enhancers,total_enhancers
2,0,0.07222814498933902,0.0042643923240938165,0.0015991471215351812,542,32,12,7504
2,1,0.07116204690831557,0.006396588486140725,0.0013326226012793177,534,48,10,7504
2,2,0.06956289978678039,0.003997867803837953,0.0013326226012793177,522,30,10,7504
2,3,0.06929637526652452,0.002931769722814499,0.0010660980810234541,520,22,8,7504
2,4,0.07276119402985075,0.00453091684434968,0.0021321961620469083,546,34,16,7504
2,5,0.07142857142857142,0.005330490405117271,0.00026652452025586353,536,40,2,7504
2,6,0.07409381663113006,0.005063965884861407,0.0010660980810234541,556,38,8,7504
2,7,0.05810234541577825,0.003464818763326226,0.0010660980810234541,436,26,8,7504
2,8,0.07116204690831557,0.004797441364605544,0.002398720682302772,534,36,18,7504
2,9,0.06929637526652452,0.005330490405117271,0.0013326226012793177,520,40,10,7504
2,10,0.06423240938166311,0.0061300639658848615,0.0015991471215351812,482,46,12,7504
2,11,0.06423240938166311,0.003464818763326226,0.0007995735607675906,482,26,6,7504
2,12,0.07196162046908315,0.005063965884861407,0.00026652452025586353,540,38,2,7504
2,13,0.06343283582089553,0.005063965884861407,0.0007995735607675906,476,38,6,7504
2,14,0.06663113006396588,0.005597014925373134,0.0018656716417910447,500,42,14,7504
2,15,0.06796375266524521,0.0037313432835820895,0.0010660980810234541,510,28,8,7504
2,16,0.07409381663113006,0.003464818763326226,0.0007995735607675906,556,26,6,7504
2,17,0.06956289978678039,0.00453091684434968,0.0010660980810234541,522,34,8,7504
2,18,0.07062899786780384,0.004797441364605544,0.0005330490405117271,530,36,4,7504
2,19,0.06902985074626866,0.002398720682302772,0.0013326226012793177,518,18,10,7504
2,20,0.06849680170575694,0.00453091684434968,0.0013326226012793177,514,34,10,7504
2,21,0.06423240938166311,0.006663113006396588,0.0015991471215351812,482,50,12,7504
2,22,0.06956289978678039,0.004797441364605544,0.0007995735607675906,522,36,6,7504
2,23,0.062366737739872065,0.005063965884861407,0.0013326226012793177,468,38,10,7504
2,24,0.0716950959488273,0.006663113006396588,0.002398720682302772,538,50,18,7504
2,25,0.07036247334754797,0.0037313432835820895,0.0005330490405117271,528,28,4,7504
2,26,0.06956289978678039,0.0061300639658848615,0.0015991471215351812,522,46,12,7504
2,27,0.06556503198294243,0.0026652452025586353,0.0007995735607675906,492,20,6,7504
2,28,0.06982942430703624,0.004797441364605544,0.0010660980810234541,524,36,8,7504
2,29,0.07329424307036247,0.0031982942430703624,0.0007995735607675906,550,24,6,7504
2,30,0.06423240938166311,0.003997867803837953,0.0010660980810234541,482,30,8,7504
2,31,0.07142857142857142,0.0031982942430703624,0.0005330490405117271,536,24,4,7504
2,32,0.06849680170575694,0.00453091684434968,0.0010660980810234541,514,34,8,7504
2,33,0.06769722814498934,0.003464818763326226,0.0007995735607675906,508,26,6,7504
2,34,0.061567164179104475,0.003997867803837953,0.0005330490405117271,462,30,4,7504
2,35,0.06982942430703624,0.005597014925373134,0.0015991471215351812,524,42,12,7504
2,36,0.06849680170575694,0.00453091684434968,0.0018656716417910447,514,34,14,7504
2,37,0.07116204690831557,0.0042643923240938165,0.0015991471215351812,534,32,12,7504
2,38,0.06982942430703624,0.0037313432835820895,0.0010660980810234541,524,28,8,7504
2,39,0.06876332622601279,0.005063965884861407,0.0013326226012793177,516,38,10,7504
2,40,0.06902985074626866,0.003464818763326226,0.0010660980810234541,518,26,8,7504
2,41,0.06769722814498934,0.00453091684434968,0.0007995735607675906,508,34,6,7504
2,42,0.0621002132196162,0.0042643923240938165,0.0010660980810234541,466,32,8,7504
2,43,0.06689765458422176,0.003997867803837953,0.0013326226012793177,502,30,10,7504
2,44,0.0738272921108742,0.003464818763326226,0.0007995735607675906,554,26,6,7504
2,45,0.07222814498933902,0.0031982942430703624,0.00026652452025586353,542,24,2,7504
