bucket	obs_prop	null_mean	null_sd	z	n_null	p_t_ge	p_norm_ge
2	0.03686635944700461	0.015760368663594426	0.005395879293547367	3.911501654354957	50	0.0001412489948683289	4.586201395028946e-05
3	0.07692307692307693	0.03198717948717943	0.011465003977280732	3.919396585028956	50	0.0001377777059984279	4.438547038774719e-05
>=4	0.12896825396825398	0.0666534653465346	0.009258697991268801	6.7304051477306945	50	8.679120326051238e-09	8.459565703829323e-12
