bucket	hit_enhancers	total_enhancers	proportion	percent
2 shadows/set	39	421	0.09263657957244656	9.263657957244655
3 shadows/set	51	304	0.16776315789473684	16.776315789473685
≥4 shadows/set	115	469	0.24520255863539445	24.520255863539443
